parameter,spearman_correlation,abs_spearman,importance_mean,importance_std
lr,-0.8628532257851897,0.8628532257851897,0.7382244386070134,0.2782127038521981
chunk_size,0.7505829274258723,0.7505829274258723,1.7542179680966001,0.5775517205298765
lr_backbone,0.6897144742010561,0.6897144742010561,0.020341043913402,0.014702244656263444
dim_feedforward,-0.6740956504118485,0.6740956504118485,0.019986010125530484,0.010184061009420858
batch_size,-0.6393824300122316,0.6393824300122316,0.025604231157340413,0.013118689835009799
kl_weight,0.5956638855852462,0.5956638855852462,0.04898372073405608,0.024045659959689793
num_encoder_layers,0.5809979332925125,0.5809979332925125,0.02859094655763415,0.019127322829973637
position_embedding_numeric,-0.38759752225486993,0.38759752225486993,,
latent_dim,-0.33622795577173176,0.33622795577173176,0.00025856813216490286,0.0005429939557218932
num_epochs,-0.13989441542217199,0.13989441542217199,0.12198124534351544,0.04858173367588543
nhead,-0.08710606539844223,0.08710606539844223,0.15430722668016936,0.07304238301642398
